Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
FR;BOULOGNE-SUR-MER;Boulogne Diderot;50.7170300001077, 1.6059129998356232;PM10;eea;µg/m³;18.5;2024-10-23T02:00:00-05:00;France
FR;XONRUPT-LONGEMER;Schlucht;48.05111699989051, 7.0111140002372325;O3;eea;µg/m³;51.3;2024-10-23T02:00:00-05:00;France
FR;XONRUPT-LONGEMER;Schlucht;48.05111699989051, 7.0111140002372325;NO;eea;µg/m³;0.5;2024-03-11T03:00:00-05:00;France
FR;PARIS 9E ARRONDISSEMENT;Boulevard Haussmann;48.87333300000442, 2.3302780002985286;NO;eea;µg/m³;39.3;2024-03-11T04:00:00-05:00;France
FR;THIONVILLE;Thionville-Centre;49.35833700015846, 6.156942000146252;NO2;eea;µg/m³;15.8;2024-10-23T02:00:00-05:00;France
FR;AVIGNON;AVIGNON   MAIRIE;43.94967299990632, 4.804340999845071;PM10;eea;µg/m³;6.7;2024-10-23T02:00:00-05:00;France
FR;TERNAY;TERNAY;45.60189999976776, 4.802200000112664;NO2;eea;µg/m³;10.9;2024-10-23T02:00:00-05:00;France
FR;TERNAY;TERNAY;45.60189999976776, 4.802200000112664;NO;eea;µg/m³;21.3;2024-03-11T04:00:00-05:00;France
FR;SAINT-GERMAIN-SUR-RHÔNE;St Germain/Rhône;46.072224000206376, 5.820833000425056;NO;eea;µg/m³;3.2;2024-03-11T04:00:00-05:00;France
FR;METZ;Metz-Borny;49.1102830002213, 6.223336000400217;PM10;eea;µg/m³;10.2;2024-10-21T20:00:00-05:00;France
FR;SAINT-BRISSON;Morvan;47.27475999976255, 4.0994759996474475;NO2;eea;µg/m³;2.4;2024-10-23T02:00:00-05:00;France
FR;TOULOUSE;Toulouse Port de l'Embouchure;43.610386000052614, 1.4152000002637386;NO;eea;µg/m³;33.2;2024-03-11T04:00:00-05:00;France
FR;MULHOUSE;Mulhouse Sud 2;47.73741500027474, 7.309075000270878;NO2;eea;µg/m³;12.8;2024-10-23T02:00:00-05:00;France
FR;LOGNES;LOGNES;48.840280000208296, 2.6352780003708567;NO;eea;µg/m³;18.4;2024-03-11T02:00:00-05:00;France
FR;VOIRON;Voiron Urbain;45.360176000039665, 5.589418999907938;PM10;eea;µg/m³;8.3;2024-10-21T20:00:00-05:00;France
FR;MARSEILLE 8E ARRONDISSEMENT;MARSEILLE RABATAU;43.27644999994541, 5.397359999748624;PM2.5;eea;µg/m³;8.2;2024-10-21T20:00:00-05:00;France
